S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
1,ACLBSL,"1,289.00",59.00,4.80,"1,215.00","1,320.00","1,210.00","23,615.00","1,230.00"
2,ADBL,310.00,16.00,5.44,299.00,320.00,288.80,"270,358.00",294.00
3,AHL,541.00,20.70,3.98,521.00,562.00,521.00,"32,072.00",520.30
4,AHPC,195.60,17.70,9.95,181.40,195.60,178.80,"881,530.00",177.90
5,AKJCL,162.80,14.80,10.00,150.90,162.80,150.90,"49,035.00",148.00
6,AKPL,202.50,17.50,9.46,187.00,202.80,184.00,"436,992.00",185.00
7,ALBSL,"1,065.00",39.00,3.80,"1,040.00","1,070.00","1,032.00","10,683.00","1,026.00"
8,ALICL,653.00,30.00,4.82,632.00,653.00,618.70,"86,989.00",623.00
9,ANLB,"2,667.00",-58.00,-2.13,"2,725.00","2,725.00","2,628.00",956.00,"2,725.00"
10,API,209.40,18.40,9.63,191.00,210.00,191.00,"883,819.00",191.00
11,AVYAN,"1,008.00",29.00,2.96,959.50,"1,010.00",959.50,"13,666.00",979.00
12,BARUN,325.60,29.60,10.00,301.60,325.60,301.60,"229,723.00",296.00
13,BBC,"4,279.00",192.00,4.70,"4,015.00","4,279.00","4,015.00","1,016.00","4,087.00"
14,BEDC,467.90,23.90,5.38,448.00,473.00,440.00,"47,518.00",444.00
15,BFC,512.30,12.30,2.46,500.00,518.00,500.00,"47,123.00",500.00
16,BGWT,"1,010.00",22.70,2.30,"1,000.00","1,015.00",983.10,"27,665.00",987.30
17,BHDC,613.00,33.00,5.69,588.00,615.00,586.50,"43,296.00",580.00
18,BHL,431.00,16.00,3.86,414.90,446.90,410.00,"68,683.00",415.00
19,BHPL,661.00,13.00,2.01,637.00,666.00,637.00,"7,822.00",648.00
20,BNHC,655.00,18.00,2.83,640.00,659.00,640.00,"43,195.00",637.00
21,BNL,"15,999.00",294.00,1.87,"15,999.00","15,999.00","15,999.00",30.00,"15,705.00"
22,BNT,"13,259.90",259.90,2.00,"12,800.30","13,259.90","12,800.10",823.00,"13,000.00"
23,BPCL,322.00,12.00,3.87,316.00,323.00,308.00,"52,999.00",310.00
24,C30MF,9.67,-0.33,-3.30,9.85,9.85,9.67,"1,200.00",10.00
25,CBBL,912.90,12.90,1.43,900.00,913.00,885.00,"22,637.00",900.00
26,CBLD88,"1,162.00",-23.80,-2.01,"1,162.00","1,162.00","1,162.00",30.00,"1,185.80"
27,CFCL,549.00,17.00,3.20,537.00,553.00,533.60,"88,263.00",532.00
28,CGH,960.00,52.00,5.73,907.10,965.00,907.10,"52,339.00",908.00
29,CHCL,498.00,33.00,7.10,456.30,503.00,456.20,"173,642.00",465.00
30,CHDC,"1,196.00",37.00,3.19,"1,182.00","1,205.00","1,150.00","114,727.00","1,159.00"
31,CHL,337.50,23.50,7.48,307.80,344.70,307.80,"131,569.00",314.00
32,CIT,"1,974.00",29.00,1.49,"1,950.00","1,982.00","1,942.00","14,444.00","1,945.00"
33,CITY,780.00,36.00,4.84,750.00,781.00,746.00,"49,310.00",744.00
34,CIZBD90,"1,006.00",-52.00,-4.91,"1,050.00","1,050.00","1,006.00",45.00,"1,058.00"
35,CKHL,640.00,33.30,5.49,595.00,644.00,595.00,"35,974.00",606.70
36,CLI,567.00,22.40,4.11,550.00,567.10,545.50,"111,874.00",544.60
37,CMF1,9.90,0.26,2.70,9.64,9.90,9.64,"46,555.00",9.64
38,CMF2,10.50,0.18,1.74,10.40,10.68,10.35,"403,893.00",10.32
39,CORBL,633.00,46.10,7.85,598.60,645.50,582.00,"15,975.00",586.90
40,CYCL,"1,590.00",40.10,2.59,"1,580.00","1,600.00","1,553.00","5,695.00","1,549.90"
41,CZBIL,202.90,9.40,4.86,197.00,203.00,190.20,"131,514.00",193.50
42,DDBL,869.00,28.00,3.33,856.80,869.00,830.00,"16,533.00",841.00
43,DHPL,223.50,10.50,4.93,217.20,225.00,215.00,"81,862.00",213.00
44,DLBS,"1,400.00",40.60,2.99,"1,386.50","1,400.00","1,332.80","4,619.00","1,359.40"
45,DOLTI,478.90,16.90,3.66,462.00,488.50,462.00,"59,940.00",462.00
46,DORDI,472.00,21.50,4.77,459.00,473.00,446.00,"47,006.00",450.50
47,EBL,572.90,12.90,2.30,556.00,573.00,556.00,"44,666.00",560.00
48,EBLD85,"1,080.00",-20.00,-1.82,"1,100.00","1,100.00","1,080.00",100.00,"1,100.00"
49,EBLD86,985.00,5.00,0.51,980.00,985.00,980.00,600.00,980.00
50,EDBL,478.80,25.80,5.70,462.00,480.00,451.00,"69,885.00",453.00
51,EHPL,580.00,29.90,5.44,550.00,580.00,550.00,"22,771.00",550.10
52,ENL,"1,190.00",82.00,7.40,"1,130.00","1,190.00","1,115.00","9,625.00","1,108.00"
53,FMDBL,702.90,21.90,3.22,693.00,703.00,680.20,"35,658.00",681.00
54,FOWAD,"1,450.00",37.00,2.62,"1,406.00","1,450.00","1,400.00","5,787.00","1,413.00"
55,GBBD85,940.00,-33.00,-3.34,970.50,971.00,940.00,914.00,988.00
56,GBBL,398.80,13.70,3.56,385.10,399.90,384.00,"93,031.00",385.10
57,GBILD84/85,"1,170.00",0.00,0.00,"1,170.00","1,170.00","1,170.00",25.00,"1,170.00"
58,GBILD86/87,984.90,-20.10,-2.00,984.90,984.90,984.90,10.00,"1,005.00"
59,GBIME,201.00,6.80,3.50,196.00,203.00,193.60,"225,370.00",194.20
60,GBLBS,832.90,21.90,2.70,826.00,835.00,816.00,"19,470.00",811.00
61,GCIL,522.00,26.00,5.24,505.90,523.00,494.00,"137,524.00",496.00
62,GFCL,636.00,9.00,1.44,639.50,640.00,620.00,"58,511.00",627.00
63,GHL,181.00,14.30,8.58,168.00,181.90,165.00,"754,529.00",166.70
64,GIBF1,9.10,0.00,0.00,8.93,9.10,8.59,"13,150.00",9.10
